criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,accuracy
gini,25.0,sqrt,2,10,100,0.96412
gini,25.0,sqrt,2,10,200,0.96398
gini,25.0,sqrt,2,10,300,0.96408
gini,25.0,sqrt,4,2,100,0.96458
gini,25.0,sqrt,4,2,200,0.96418
gini,25.0,sqrt,4,2,300,0.9643
gini,25.0,sqrt,4,5,100,0.96458
gini,25.0,sqrt,4,5,200,0.96418
gini,25.0,sqrt,4,5,300,0.9643
gini,25.0,sqrt,4,10,100,0.9644199999999999
gini,25.0,sqrt,4,10,200,0.96452
gini,25.0,sqrt,4,10,300,0.96444
gini,25.0,log2,1,2,100,0.96142
gini,25.0,log2,1,2,200,0.9617600000000002
gini,25.0,log2,1,2,300,0.9618400000000001
gini,25.0,log2,1,5,100,0.96296
gini,25.0,log2,1,5,200,0.96276
gini,25.0,log2,1,5,300,0.96266
gini,25.0,log2,1,10,100,0.96394
gini,25.0,log2,1,10,200,0.9638
gini,25.0,log2,1,10,300,0.96358
gini,25.0,log2,2,2,100,0.9629999999999999
gini,25.0,log2,2,2,200,0.9629999999999999
gini,25.0,log2,2,2,300,0.9631000000000001
gini,25.0,log2,2,5,100,0.96296
gini,25.0,log2,2,5,200,0.96316
gini,25.0,log2,2,5,300,0.9632000000000002
gini,25.0,log2,2,10,100,0.96412
gini,25.0,log2,2,10,200,0.96398
gini,25.0,log2,2,10,300,0.96408
gini,25.0,log2,4,2,100,0.96458
gini,25.0,log2,4,2,200,0.96418
gini,25.0,log2,4,2,300,0.9643
gini,25.0,log2,4,5,100,0.96458
gini,25.0,log2,4,5,200,0.96418
gini,25.0,log2,4,5,300,0.9643
gini,25.0,log2,4,10,100,0.9644199999999999
gini,25.0,log2,4,10,200,0.96452
gini,25.0,log2,4,10,300,0.96444
entropy,,sqrt,1,2,100,0.9612999999999999
entropy,,sqrt,1,2,200,0.9614800000000001
entropy,,sqrt,1,2,300,0.96136
entropy,,sqrt,1,5,100,0.96266
entropy,,sqrt,1,5,200,0.96254
entropy,,sqrt,1,5,300,0.96236
entropy,,sqrt,1,10,100,0.9637800000000001
entropy,,sqrt,1,10,200,0.96372
entropy,,sqrt,1,10,300,0.96376
entropy,,sqrt,2,2,100,0.9627799999999999
entropy,,sqrt,2,2,200,0.9631000000000001
entropy,,sqrt,2,2,300,0.9630599999999999
entropy,,sqrt,2,5,100,0.96296
entropy,,sqrt,2,5,200,0.96326
entropy,,sqrt,2,5,300,0.96294
entropy,,sqrt,2,10,100,0.9639199999999999
entropy,,sqrt,2,10,200,0.96412
entropy,,sqrt,2,10,300,0.9641400000000001
entropy,,sqrt,4,2,100,0.9643
entropy,,sqrt,4,2,200,0.9643200000000001
entropy,,sqrt,4,2,300,0.96416
entropy,,sqrt,4,5,100,0.9643
entropy,,sqrt,4,5,200,0.9643200000000001
entropy,,sqrt,4,5,300,0.96416
entropy,,sqrt,4,10,100,0.9643600000000001
entropy,,sqrt,4,10,200,0.9644199999999999
entropy,,sqrt,4,10,300,0.9642
entropy,,log2,1,2,100,0.9612999999999999
