,Concurrency,Total Requests,Successful,Failed,Mean Latency (sec),Median Latency (sec),Min Latency (sec),Max Latency (sec),P95 Latency (sec),P99 Latency (sec)
0,5,1000,810,190,1.0497005772117967,0.7130143500004124,0.29604415999965566,11.942975780000415,2.75142919299982,4.90530361199974
1,10,1000,791,209,1.0960079127588067,0.7664740399999573,0.30472114000003786,11.660442859999966,2.569622189999717,4.902643116000272
2,50,1000,770,230,4.886509991354937,3.9875625900001976,1.0591175399993518,13.332070000000021,8.82803856599965,9.810118897800226
3,100,1000,342,658,5.533565259792241,5.017792030000055,1.1423807999999553,11.002481759999863,9.357280748999692,9.981499632400203
