Total Requests,Successful,Failed,Mean Latency (sec),Median Latency (sec),Min Latency (sec),Max Latency (sec),P95 Latency (sec),P99 Latency (sec),Concurrency
1000,791,209,1.0543386082174242,0.6938700000009703,0.3054076999997051,9.6210274999994,3.0940592500001003,5.036941849999503,5
1000,782,218,1.0598625479539046,0.7237982500000726,0.2953340999993088,15.450092400000358,2.2706894349992557,5.0657597280008035,10
1000,778,222,4.888843627249343,3.9881021500004863,1.0422710999991978,11.084449899999527,8.302291429998876,9.398019241000366,50
1000,357,643,5.712265759663763,5.041633099999672,1.8258628000003227,10.085857200001556,9.434378479999577,9.986601943999412,100
