,Total Requests,Preprocessing Time (sec),Textual Inference Time (sec),Heuristic Inference Time (sec),Fusion Inference Time (sec),Response Time (sec),Latency (sec),Concurrency
0,50,0.8303000135421753,0.0004573230743408203,0.001323486328125,1.6460418701171873e-06,0.32837340701347084,1.1604558759999821,1.0
1,100,0.8069298396833016,0.00044935550111712834,0.0011807056821957983,1.6598364319464173e-06,0.29603939675554203,1.0829335148669208,1.0
2,500,0.8233912353546204,0.0004537622726990847,0.001135260198207083,1.6693700052693279e-06,0.2871023108739788,1.1048073129244618,1.0
3,1000,0.8117013813620272,0.0004524507448726889,0.001209750492008831,1.6594477963636434e-06,0.334165691734429,1.1133507018806108,1.0
