,Concurrency,Preprocessing Time (sec),Textual Inference Time (sec),Heuristic Inference Time (sec),Fusion Inference Time (sec),Response Time (sec),Latency (sec),Total Requests
0,5,0.5656782201934827,0.0003547523001552109,0.0009616738975920623,1.359735646159695e-06,0.9625530113573498,1.0497005772117967,1000.0
1,10,0.5440932245451071,0.00033851117261890165,0.0008722697971806486,1.2503019498623866e-06,1.074472105313811,1.0960079127588067,1000.0
2,50,3.1390802976448886,0.0003323992841802764,0.0007944370392369924,1.217076025345158e-06,1.7681481419146543,4.886509991354937,1000.0
3,100,3.5011729380866528,0.000327562528877773,0.000773148548471606,1.165661250174558e-06,1.9263160687461585,5.533565259792241,1000.0
